id,name,url
cfhdojbkjhnklbpkdaibdccddilifddb,Adblock Plus,https://chrome.google.com/webstore/detail/adblock-plus-free-ad-bloc/cfhdojbkjhnklbpkdaibdccddilifddb
ponfpcnoihfmfllpaingbgckeeldkhle,Enhancer for YouTube,https://chrome.google.com/webstore/detail/enhancer-for-youtube/ponfpcnoihfmfllpaingbgckeeldkhle
fihnjjcciajhdojfnbdddfaoknhalnja,I don't care about cookies,https://chrome.google.com/webstore/detail/i-dont-care-about-cookies/fihnjjcciajhdojfnbdddfaoknhalnja
