id,name,url
eimadpbcbfnmbkopoojfekhnkhdbieeh,Dark Reader,https://chrome.google.com/webstore/detail/dark-reader/eimadpbcbfnmbkopoojfekhnkhdbieeh
gebbhagfogifgggkldgodflihgfeippi,Return YouTube Dislike,https://chrome.google.com/webstore/detail/return-youtube-dislike/gebbhagfogifgggkldgodflihgfeippi
gmmnidkpkgiohfdoenhpghbilmeeagjj,Sci-Hub X Now,https://chrome.google.com/webstore/detail/sci-hub-x-now/gmmnidkpkgiohfdoenhpghbilmeeagjj
hnmpcagpplmpfojmgmnngilcnanddlhb,Windscribe,https://chrome.google.com/webstore/detail/windscribe-free-proxy-and/hnmpcagpplmpfojmgmnngilcnanddlhb
